Precio;Equipo;Jugador;Posición;Puntos;PJ;Casa;Fuera;Media;;;;;;;;;;;;;;;
150000;Mallorca;Domenech;Delantero;8;3;2;1;2.67;;[9579088, 1223690, 4341587, 4265341];9579088;Budimir;9.120.000;Joan García;9.580.000;459.088;912;;;;;;
150000;Mallorca;Abdón Prats;Delantero;6;3;2;1;2.00;;;1223690;Abqar;1.220.000;Colombatto;1.230.000;3.690;6.310;;;;;;
150000;Osasuna;Kike Barja;Centrocampista;3;2;0;2;1.50;;;4341587;Balde;4.340.000;Arambarri;4.370.000;1.587;28.413;;;;;;
150000;Sevilla;Manu Bueno;Centrocampista;3;1;0;1;3.00;;;4265341;Oblak;4.210.000;Sivera;4.280.000;55.341;14.659;;;;;;
150000;Real Sociedad;Jon Karrikaburu;Delantero;3;2;1;1;1.50;;[3 798 868, 11 136 054, 3 033 837, 1 494 958];3798868;Aimar Oroz;3.780.000;Cabrera;3.800.000;18.868;1.132;;;;;;
150000;Levante;Espí;Delantero;3;2;1;1;1.50;;;11136054;Lo Celso;10.080.000;Pépé;11.250.000;1.056.054;113.946;;;;;;
150000;Mallorca;Lato;Defensa;2;2;1;1;1.00;;;3033837;Carlos Álvarez;3.020.000;Le Normand;3.040.000;13.837;6.163;;;;;;
150000;Espanyol;Rubén Sánchez;Defensa;2;1;1;0;2.00;;;1494958;Álvaro Rodríguez;1.490.000;De la Fuente;1.510.000;4.958;15.042;;;;;;
150000;Athletic;Nico Serrano;Delantero;2;1;1;0;2.00;;[17613885, 2348203];17613885;Pedri;17.470.000;Yamal;20.110.000;143.885;2.496.115;;;;;;
150000;Elche;Diaby;Defensa;2;1;1;0;2.00;;;2348203;Mojica;2.320.000;Febas;2.350.000;28.203;1.797;;;;;;
150000;Alavés;Nikola Maras;Defensa;0;0;0;0;0.00;;[4812447, 9025362, 5496967];4812447;Laporte;4.770.000;Carvajal;4.860.000;42.447;47.553;;;;;;
150000;Girona;Juan Carlos;Portero;0;0;0;0;0.00;;;9025362;Kubo;8.740.000;Budimir;9.120.000;285.362;94.638;;;;;;
150000;Mallorca;Cuéllar;Portero;0;0;0;0;0.00;;;5496967;Álvaro García;5.410.000;Rafa Mir;5.540.000;86.967;43.033;Iñaki Williams;5540000;43.033;;;
