Equipo;Jugador;Posición;Puntos;Precio;PJ;Casa;Fuera;Media
Real Madrid;Mbappé;Delantero;37;23240000;3;2;1;12.33
Villarreal;Pépé;Delantero;34;7860000;3;2;1;11.33
Barcelona;Yamal;Delantero;30;21680000;3;0;3;10.00
Real Madrid;Vinícius Jr;Delantero;30;15570000;3;2;1;10.00
Villarreal;Pape Gueye;Centrocampista;29;7590000;3;2;1;9.67
Real Oviedo;Escandell;Portero;29;4390000;3;2;1;9.67
Villarreal;Buchanan;Centrocampista;29;4340000;3;2;1;9.67
Barcelona;Pedri;Centrocampista;28;16950000;3;0;3;9.33
Getafe;Adrián Liso;Delantero;27;3390000;3;0;3;9.00
Athletic;Nico Williams;Delantero;26;13160000;3;2;1;8.67
Real Madrid;Arda Güler;Centrocampista;26;12230000;3;2;1;8.67
Betis;Lo Celso;Centrocampista;26;10830000;4;2;2;6.50
Barcelona;Joan García;Portero;26;8530000;3;0;3;8.67
Espanyol;Pere Milla;Delantero;26;3280000;3;2;1;8.67
Betis;Bartra;Defensa;25;4320000;4;2;2;6.25
Espanyol;Carlos Romero;Defensa;25;2960000;3;2;1;8.33
Celta;Sotelo;Centrocampista;25;1990000;4;3;1;6.25
Levante;Iván Romero;Delantero;24;3030000;3;1;2;8.00
Celta;Javier Rueda;Defensa;24;1460000;3;2;1;8.00
Real Madrid;Dean Huijsen;Defensa;23;10750000;3;2;1;7.67
Alavés;Tenaglia;Defensa;23;4160000;3;2;1;7.67
Villarreal;Rafa Marín;Defensa;23;3850000;3;2;1;7.67
Elche;Germán Valera;Delantero;23;3430000;3;2;1;7.67
Getafe;Uche;Delantero;22;4530000;3;0;3;7.33
Espanyol;Expósito;Centrocampista;22;4470000;3;2;1;7.33
Osasuna;Boyomo;Defensa;22;4290000;3;1;2;7.33
Barcelona;Ferran Torres;Delantero;21;6960000;3;0;3;7.00
Getafe;Luis Milla;Centrocampista;21;6090000;3;0;3;7.00
Sevilla;Agoumé;Centrocampista;21;3800000;3;1;2;7.00
Elche;Rafa Mir;Delantero;21;3100000;3;2;1;7.00
Rayo Vallecano;De Frutos;Delantero;20;5290000;3;1;2;6.67
Betis;Sergi Altimira;Centrocampista;20;3620000;4;2;2;5.00
Osasuna;Rosier;Defensa;20;3420000;3;1;2;6.67
Athletic;Paredes;Defensa;20;2580000;3;2;1;6.67
Real Sociedad;Kubo;Centrocampista;19;10930000;3;1;2;6.33
Rayo Vallecano;Álvaro García;Delantero;19;5770000;3;1;2;6.33
Rayo Vallecano;Isi Palazón;Delantero;19;5690000;3;1;2;6.33
Villarreal;Sergi Cardona;Defensa;19;5410000;3;2;1;6.33
Rayo Vallecano;Pathé Ciss;Centrocampista;19;3530000;3;1;2;6.33
Real Sociedad;Barrenetxea;Centrocampista;19;3220000;3;1;2;6.33
Real Oviedo;Hassan;Delantero;19;2940000;3;2;1;6.33
Betis;Ruibal;Centrocampista;19;2610000;3;1;2;6.33
Espanyol;Miguel Rubio;Defensa;19;2200000;3;2;1;6.33
Valencia;Diakhaby;Defensa;19;1710000;2;1;1;9.50
Villarreal;Etta Eyong;Delantero;18;5510000;3;2;1;6.00
Betis;Fornals;Centrocampista;18;5020000;4;2;2;4.50
Espanyol;Cabrera;Defensa;18;3380000;3;2;1;6.00
Real Oviedo;Dendoncker;Centrocampista;18;3140000;2;2;0;9.00
Elche;Bigas;Defensa;18;2170000;3;2;1;6.00
Elche;Mendoza;Centrocampista;18;1600000;3;2;1;6.00
Barcelona;Raphinha;Delantero;17;17920000;3;0;3;5.67
Celta;Iago Aspas;Delantero;17;7250000;4;3;1;4.25
Espanyol;Puado;Delantero;17;6600000;3;2;1;5.67
Real Madrid;Álvaro Carreras;Defensa;17;6370000;3;2;1;5.67
Villarreal;Comesaña;Centrocampista;17;4820000;3;2;1;5.67
Villarreal;Santiago Mouriño;Defensa;17;4660000;3;2;1;5.67
Elche;Dituro;Portero;17;3550000;3;2;1;5.67
Valencia;Danjuma;Delantero;17;3480000;3;2;1;5.67
Sevilla;Kike Salas;Defensa;17;3180000;3;1;2;5.67
Sevilla;Andrés Castrín;Defensa;17;1420000;3;1;2;5.67
Real Madrid;Tchouameni;Centrocampista;16;7030000;3;2;1;5.33
Osasuna;Sergio Herrera;Portero;16;4940000;3;1;2;5.33
Villarreal;Foyth;Defensa;16;4900000;3;2;1;5.33
Celta;Ilaix Moriba;Centrocampista;16;3800000;4;3;1;4.00
Celta;Borja Iglesias;Delantero;16;3060000;4;3;1;4.00
Celta;Ionut Radu;Portero;16;3050000;4;3;1;4.00
Alavés;Antonio Blanco;Centrocampista;16;2970000;3;2;1;5.33
Osasuna;Moi Gómez;Centrocampista;16;1640000;3;1;2;5.33
Real Madrid;Valverde;Centrocampista;15;13740000;3;2;1;5.00
Osasuna;Budimir;Delantero;15;10890000;3;1;2;5.00
Valencia;Diego López;Delantero;15;5360000;3;2;1;5.00
Rayo Vallecano;Lejeune;Defensa;15;4890000;3;1;2;5.00
Atlético;Giuliano Simeone;Centrocampista;15;4800000;3;1;2;5.00
Valencia;Hugo Duro;Delantero;15;3870000;3;2;1;5.00
Valencia;Tárrega;Defensa;15;3630000;3;2;1;5.00
Espanyol;El Hilali;Defensa;15;3140000;3;2;1;5.00
Osasuna;Moncayola;Centrocampista;15;2900000;3;1;2;5.00
Celta;Hugo Álvarez;Centrocampista;15;1670000;2;2;0;7.50
Mallorca;Mateu Morey;Defensa;15;1520000;3;2;1;5.00
Sevilla;Isaac Romero;Delantero;15;1440000;3;1;2;5.00
Rayo Vallecano;Fran Pérez;Delantero;15;540000;2;1;1;7.50
Barcelona;Balde;Defensa;14;6760000;3;0;3;4.67
Barcelona;Gavi;Centrocampista;14;5020000;2;0;2;7.00
Real Madrid;Carvajal;Defensa;14;4570000;3;2;1;4.67
Rayo Vallecano;Batalla;Portero;14;4540000;3;1;2;4.67
Alavés;Carlos Vicente;Delantero;14;4110000;3;2;1;4.67
Espanyol;Dmitrovic;Portero;14;4070000;3;2;1;4.67
Athletic;Areso;Defensa;14;3690000;3;2;1;4.67
Real Sociedad;Óskarsson;Delantero;14;3120000;3;1;2;4.67
Elche;Affengruber;Defensa;14;3090000;3;2;1;4.67
Levante;Morales;Delantero;14;3070000;3;1;2;4.67
Alavés;Jonny Castro;Defensa;14;2900000;3;2;1;4.67
Rayo Vallecano;Chavarría;Defensa;14;2880000;3;1;2;4.67
Athletic;Robert Navarro;Centrocampista;14;2570000;2;1;1;7.00
Elche;Álvaro Núñez;Defensa;14;2230000;3;2;1;4.67
Betis;Pablo García;Delantero;14;2180000;4;2;2;3.50
Espanyol;Calero;Defensa;14;1070000;3;2;1;4.67
Sevilla;Lukébakio;Delantero;13;7200000;2;1;1;6.50
Real Sociedad;Oyarzabal;Delantero;13;7130000;3;1;2;4.33
Athletic;Vivian;Defensa;13;5740000;3;2;1;4.33
Athletic;Berenguer;Delantero;13;5280000;3;2;1;4.33
Celta;Mingueza;Defensa;13;4750000;3;3;0;4.33
Villarreal;Luiz Júnior;Portero;13;4500000;3;2;1;4.33
Atlético;Hancko;Defensa;13;4430000;3;1;2;4.33
Alavés;Sivera;Portero;13;4220000;3;2;1;4.33
Getafe;Djené;Defensa;13;3130000;3;0;3;4.33
Osasuna;Víctor Muñoz;Delantero;13;3040000;3;1;2;4.33
Betis;Natan;Defensa;13;3000000;4;2;2;3.25
Levante;Pablo Campos;Portero;13;2980000;2;1;1;6.50
Girona;Joel Roca;Delantero;13;2920000;3;2;1;4.33
Osasuna;Torró;Centrocampista;13;2810000;3;1;2;4.33
Sevilla;Nyland;Portero;13;2700000;3;1;2;4.33
Rayo Vallecano;Unai López;Centrocampista;13;2250000;3;1;2;4.33
Alavés;Toni Martínez;Delantero;13;2250000;3;2;1;4.33
Levante;Toljan;Defensa;13;2190000;3;1;2;4.33
Betis;Bellerín;Defensa;13;2130000;4;2;2;3.25
Levante;De la Fuente;Defensa;13;2020000;3;1;2;4.33
Real Oviedo;Calvo;Defensa;13;1800000;3;2;1;4.33
Real Oviedo;Alhassane;Defensa;13;1530000;3;2;1;4.33
Alavés;Pablo Ibáñez;Centrocampista;13;1440000;3;2;1;4.33
Real Oviedo;Viñas;Delantero;13;950000;3;2;1;4.33
Real Madrid;Courtois;Portero;12;6950000;3;2;1;4.00
Osasuna;Aimar Oroz;Centrocampista;12;5770000;3;1;2;4.00
Betis;Roro Riquelme;Centrocampista;12;5340000;4;2;2;3.00
Atlético;Barrios;Centrocampista;12;4390000;3;1;2;4.00
Mallorca;Darder;Centrocampista;12;4260000;3;2;1;4.00
Mallorca;Pablo Torre;Centrocampista;12;4220000;3;2;1;4.00
Valencia;Rioja;Delantero;12;3890000;3;2;1;4.00
Barcelona;Eric García;Defensa;12;3630000;3;0;3;4.00
Real Sociedad;Aramburu;Defensa;12;3290000;3;1;2;4.00
Osasuna;Catena;Defensa;12;3210000;3;1;2;4.00
Mallorca;Valjent;Defensa;12;2970000;3;2;1;4.00
Rayo Vallecano;Luiz Felipe;Defensa;12;2660000;3;1;2;4.00
Alavés;Facundo Garcés;Defensa;12;1880000;3;2;1;4.00
Betis;Bakambu;Delantero;12;610000;4;2;2;3.00
Atlético;Julián Alvarez;Delantero;11;14920000;3;1;2;3.67
