Equipo;Jugador;Posición;Puntos;Precio;PJ;Casa;Fuera;Media
Racing;Villalibre;Delantero;30;7350000;2;1;1;15.00
Sporting;César Gelabert;Centrocampista;29;9270000;3;2;1;9.67
Albacete;Agus Medina;Centrocampista;29;5070000;2;1;1;14.50
Sporting;Lucas Perrin;Defensa;29;4100000;3;2;1;9.67
Almería;Embarba;Delantero;26;5970000;3;1;2;8.67
Sporting;Juan Otero;Delantero;25;6000000;3;2;1;8.33
Sporting;Jonathan Dubasin;Delantero;23;10190000;3;2;1;7.67
Sporting;Rúben Yáñez;Portero;22;5070000;3;2;1;7.33
Eibar;Javier Martón;Delantero;22;3980000;2;1;1;11.00
Las Palmas;Ale García;Delantero;22;3510000;2;1;1;11.00
Eibar;Anaitz Arbilla;Defensa;22;3480000;2;1;1;11.00
Racing;Andrés Martín;Delantero;21;13970000;2;1;1;10.50
Albacete;Jon Morcillo;Delantero;21;6170000;2;1;1;10.50
Almería;Léo Baptistão;Delantero;21;6170000;3;1;2;7.00
Real Valladolid;Chuki;Centrocampista;21;4890000;2;1;1;10.50
Real Valladolid;Amath;Delantero;19;5270000;2;1;1;9.50
Sporting;Pablo Vázquez;Defensa;19;3320000;3;2;1;6.33
Las Palmas;Enrique Clemente;Defensa;19;1350000;2;1;1;9.50
Real Valladolid;Stipe Biuk;Delantero;18;4710000;2;1;1;9.00
Real Sociedad B;Aitor Fraga;Portero;18;2520000;3;2;1;6.00
FC Andorra;Gael Alonso;Defensa;18;1920000;2;0;2;9.00
Eibar;Álvaro Rodríguez;Defensa;18;1710000;2;1;1;9.00
Racing;Iñigo Vicente;Delantero;17;11210000;2;1;1;8.50
Almería;Sergio Arribas;Centrocampista;17;8490000;3;1;2;5.67
Deportivo;Mario Soriano;Centrocampista;17;7950000;2;1;1;8.50
Burgos CF;Curro;Delantero;17;6140000;2;1;1;8.50
Real Valladolid;Juanmi Latasa;Delantero;17;5590000;2;1;1;8.50
Real Valladolid;Pablo Tomeo;Defensa;17;5080000;2;1;1;8.50
Almería;Nico Melamed;Centrocampista;17;4950000;3;1;2;5.67
Almería;Dion Lopy;Centrocampista;17;4770000;3;1;2;5.67
Albacete;Antonio Puertas;Centrocampista;17;4610000;2;1;1;8.50
Eibar;Aleix Garrido;Centrocampista;17;3550000;2;1;1;8.50
Burgos CF;Fer Niño;Delantero;16;5580000;2;1;1;8.00
Sporting;Guille Rosas;Defensa;16;4280000;3;2;1;5.33
Deportivo;Sergio Escudero;Defensa;16;2930000;2;1;1;8.00
Sporting;Diego Sánchez;Defensa;16;2590000;3;2;1;5.33
Real Sociedad B;Luken Beitia;Defensa;16;1830000;3;2;1;5.33
Málaga;Álex Pastor;Defensa;16;1730000;2;2;0;8.00
Real Sociedad B;Job Ochieng;Delantero;16;1630000;3;2;1;5.33
Las Palmas;Milos Lukovic;Delantero;14;5320000;1;0;1;14.00
Deportivo;Eddahchouri;Delantero;14;4340000;2;1;1;7.00
Real Valladolid;Iván Alejo;Centrocampista;14;4110000;2;1;1;7.00
Racing;Manu Hernando;Defensa;14;3400000;2;1;1;7.00
FC Andorra;Lautaro de León;Delantero;14;2830000;2;0;2;7.00
Sporting;Ignacio Martín;Centrocampista;14;2830000;3;2;1;4.67
Zaragoza;Samed Bazdar;Delantero;14;1770000;2;1;1;7.00
Real Sociedad B;Peru Rodríguez;Defensa;14;1560000;3;2;1;4.67
Leganés;De La Fuente;Delantero;13;6120000;2;1;1;6.50
Sporting;Àlex Corredera;Centrocampista;13;5230000;3;2;1;4.33
Huesca;Iker Kortajarena;Centrocampista;13;4960000;2;1;1;6.50
Granada;Hongla;Centrocampista;13;3440000;2;1;1;6.50
Real Valladolid;Guille Bueno;Defensa;13;3280000;2;1;1;6.50
Huesca;Dani Jiménez;Portero;13;3090000;2;1;1;6.50
Cultural Leonesa;Édgar Badía;Portero;13;3060000;3;1;2;4.33
