Equipo;Jugador;Posición;Puntos;Precio;PJ;Casa;Fuera;Media;;Equipo;Jugador;Posición;Puntos;Precio;;;
Racing;Andrés Martín;Delantero;21;13.940.000;2;1;1;10.50;;Racing;Andrés Martín;Delantero;21;13.940.000;;Valor total 11x10 jugadores más caros;527.830.000
Deportivo;Yeremay Hernández;Delantero;5;13.570.000;2;1;1;2.50;;Deportivo;Yeremay Hernández;Delantero;5;13.570.000;;Valor medio;4.798.455
Racing;Iñigo Vicente;Delantero;17;11.050.000;2;1;1;8.50;;Racing;Iñigo Vicente;Delantero;17;11.050.000;;;
Sporting;Jonathan Dubasin;Delantero;17;10.100.000;2;1;1;8.50;;Sporting;Jonathan Dubasin;Delantero;17;10.100.000;;;
Cádiz;Ontiveros;Centrocampista;10;9.800.000;2;1;1;5.00;;Cádiz;Ontiveros;Centrocampista;10;9.800.000;;;
Sporting;César Gelabert;Centrocampista;23;8.990.000;2;1;1;11.50;;Sporting;César Gelabert;Centrocampista;23;8.990.000;;;
Almería;Sergio Arribas;Centrocampista;14;8.410.000;2;1;1;7.00;;Almería;Sergio Arribas;Centrocampista;14;8.410.000;;;
Deportivo;Mario Soriano;Centrocampista;17;7.980.000;2;1;1;8.50;;Deportivo;Mario Soriano;Centrocampista;17;7.980.000;;;
Almería;Patrick Soko;Delantero;5;7.280.000;2;1;1;2.50;;Almería;Patrick Soko;Delantero;5;7.280.000;;;
Málaga;David Larrubia;Centrocampista;11;6.980.000;2;2;0;5.50;;Málaga;David Larrubia;Centrocampista;11;6.980.000;;;
Las Palmas;Manuel Fuster;Centrocampista;11;6.710.000;2;1;1;5.50;;Las Palmas;Manuel Fuster;Centrocampista;11;6.710.000;;;
Córdoba;Jacobo González;Centrocampista;11;6.660.000;2;1;1;5.50;;Córdoba;Jacobo González;Centrocampista;11;6.660.000;;;
Racing;Villalibre;Delantero;30;6.580.000;2;1;1;15.00;;Racing;Villalibre;Delantero;30;6.580.000;;;
Cádiz;Suso;Delantero;9;6.490.000;2;1;1;4.50;;Cádiz;Suso;Delantero;9;6.490.000;;;
Las Palmas;Jonathan Viera;Centrocampista;3;6.480.000;1;0;1;3.00;;Las Palmas;Jonathan Viera;Centrocampista;3;6.480.000;;;
