tipo,fecha,vendedor,comprador,jugador,precio
venta,2025-10-03 09:20:21,Luis Padrique, ,Diego Murillo,760100
compra,2025-10-03 05:06:09,,Llaule,Ramón Enríquez,380000
compra,2025-10-03 05:06:09,,Llaule,Sergio Cubero,4180000
venta,2025-10-02 08:19:07,Real Garrucho, ,Marc Doménech,3843200
compra,2025-10-02 05:05:30,,Llaule,Jefté Betancor,820000
compra,2025-10-02 05:05:30,,Llaule,Duk,6880000
compra,2025-10-01 05:06:35,,Cachoneros Mantilla Bésalo,Luis Chacón,1890000
tipo,fecha,vendedor,comprador,jugador,precio
venta,2025-10-06 07:55:12,Mompia FC, ,Egoitz Arana,219700
venta,2025-10-06 07:55:12,Mompia FC, ,Egoitz Arana,219700
compra,2025-10-06 05:05:45,,La Piñera,José Lazo,601000
venta,2025-10-05 21:08:00,Costa norte, ,Unax Agote,504400
venta,2025-10-05 20:40:05,Mompia FC, ,Sergio Escudero,2764900
venta,2025-10-05 20:40:05,Mompia FC, ,Sergio Escudero,2764900
compra,2025-10-04 05:06:15,,Luis Padrique,Peru Nolaskoain,1285000
venta,2025-10-03 09:20:21,Luis Padrique, ,Diego Murillo,760100
tipo,fecha,vendedor,comprador,jugador,precio
venta,2025-10-06 07:55:12,Mompia FC, ,Egoitz Arana,219700
venta,2025-10-06 07:55:12,Mompia FC, ,Egoitz Arana,219700
compra,2025-10-06 05:05:45,,La Piñera,José Lazo,601000
venta,2025-10-05 21:08:00,Costa norte, ,Unax Agote,504400
venta,2025-10-05 20:40:05,Mompia FC, ,Sergio Escudero,2764900
venta,2025-10-05 20:40:05,Mompia FC, ,Sergio Escudero,2764900
compra,2025-10-04 05:06:15,,Luis Padrique,Peru Nolaskoain,1285000
venta,2025-10-03 09:20:21,Luis Padrique, ,Diego Murillo,760100
tipo,fecha,vendedor,comprador,jugador,precio
venta,2025-10-06 07:55:12,Mompia FC, ,Egoitz Arana,219700
compra,2025-10-06 05:05:45,,La Piñera,José Lazo,601000
venta,2025-10-05 21:08:00,Costa norte, ,Unax Agote,504400
venta,2025-10-05 20:40:05,Mompia FC, ,Sergio Escudero,2764900
venta,2025-10-05 20:40:05,Mompia FC, ,Sergio Escudero,2764900
compra,2025-10-04 05:06:15,,Luis Padrique,Peru Nolaskoain,1285000
venta,2025-10-03 09:20:21,Luis Padrique, ,Diego Murillo,760100
tipo,fecha,vendedor,comprador,jugador,precio
venta,2025-10-06 07:55:12,Mompia FC, ,Egoitz Arana,219700
compra,2025-10-06 05:05:45,,La Piñera,José Lazo,601000
venta,2025-10-05 21:08:00,Costa norte, ,Unax Agote,504400
venta,2025-10-05 20:40:05,Mompia FC, ,Sergio Escudero,2764900
venta,2025-10-05 20:40:05,Mompia FC, ,Sergio Escudero,2764900
compra,2025-10-04 05:06:15,,Luis Padrique,Peru Nolaskoain,1285000
venta,2025-10-03 09:20:21,Luis Padrique, ,Diego Murillo,760100
tipo,fecha,vendedor,comprador,jugador,precio
venta,2025-10-06 07:55:12,Mompia FC, ,Egoitz Arana,219700
venta,2025-10-06 07:55:12,Mompia FC, ,Egoitz Arana,219700
compra,2025-10-06 05:05:45,,La Piñera,José Lazo,601000
venta,2025-10-05 21:08:00,Costa norte, ,Unax Agote,504400
venta,2025-10-05 20:40:05,Mompia FC, ,Sergio Escudero,2764900
venta,2025-10-05 20:40:05,Mompia FC, ,Sergio Escudero,2764900
compra,2025-10-04 05:06:15,,Luis Padrique,Peru Nolaskoain,1285000
venta,2025-10-03 09:20:21,Luis Padrique, ,Diego Murillo,760100
tipo,fecha,vendedor,comprador,jugador,precio
venta,2025-10-06 07:55:12,Mompia FC, ,Egoitz Arana,219700
venta,2025-10-06 07:55:12,Guacamayos, ,Francisco Montero,219700
compra,2025-10-06 05:05:45,,La Piñera,José Lazo,601000
venta,2025-10-05 21:08:00,Costa norte, ,Unax Agote,504400
venta,2025-10-05 20:40:05,Mompia FC, ,Sergio Escudero,2764900
venta,2025-10-05 20:40:05,Mompia FC, ,Sergio Escudero,2764900
compra,2025-10-04 05:06:15,,Luis Padrique,Peru Nolaskoain,1285000
venta,2025-10-03 09:20:21,Luis Padrique, ,Diego Murillo,760100
tipo,fecha,vendedor,comprador,jugador,precio
venta,2025-10-06 07:55:12,Mompia FC, ,Egoitz Arana,219700
venta,2025-10-06 07:55:12,Guacamayos, ,Francisco Montero,219700
compra,2025-10-06 05:05:45,,La Piñera,José Lazo,601000
venta,2025-10-05 21:08:00,Costa norte, ,Unax Agote,504400
venta,2025-10-05 21:08:00,Costa norte, ,Unax Agote,504400
venta,2025-10-05 21:08:00,Costa norte, ,Unax Agote,504400
venta,2025-10-05 21:08:00,Costa norte, ,Unax Agote,504400
venta,2025-10-05 21:08:00,Costa norte, ,Unax Agote,504400
venta,2025-10-05 21:08:00,Costa norte, ,Unax Agote,504400
venta,2025-10-05 21:08:00,Costa norte, ,Unax Agote,504400
venta,2025-10-05 21:08:00,Costa norte, ,Unax Agote,504400
venta,2025-10-05 21:08:00,Costa norte, ,Unax Agote,504400
